Parameter,Parameter_Value,BF
theta2_deg,137.6,1.4969468069151706
theta2_deg,137.8,1.4981854661952805
theta2_deg,138.0,1.4994292444164123
theta2_deg,138.2,1.5006780964395579
theta2_deg,138.4,1.501931976529155
theta2_deg,138.6,1.5031908383460506
theta2_deg,138.8,1.5044546349404422
theta2_deg,139.0,1.5057233187447898
theta2_deg,139.2,1.506996841566715
theta2_deg,139.4,1.5082751545818711
theta2_deg,139.6,1.5095582083267958
theta2_deg,139.8,1.5108459526917497
theta2_deg,140.0,1.5121383369135315
theta2_deg,140.2,1.5134353095682782
theta2_deg,140.4,1.5147368185642491
theta2_deg,140.6,1.516042811134602
theta2_deg,140.8,1.5173532338301472
theta2_deg,141.0,1.5186680325120983
theta2_deg,141.2,1.519987152344805
theta2_deg,141.4,1.5213105377884875
theta2_deg,141.6,1.5226381325919542
theta2_deg,141.8,1.523969879785318
theta2_deg,142.0,1.5253057216727075
theta2_deg,142.2,1.526645599824977
theta2_deg,142.4,1.5279894550724165
theta2_deg,142.6,1.5293372274974528
theta2_deg,142.8,1.5306888564273704
theta2_deg,143.0,1.5320442804270187
theta2_deg,143.2,1.5334034372915368
theta2_deg,143.4,1.5347662640390822
theta2_deg,143.6,1.536132696903568
theta2_deg,143.8,1.537502671327414
theta2_deg,144.0,1.5388761219543095
theta2_deg,144.2,1.540252982621992
theta2_deg,144.4,1.5416331863550472
theta2_deg,144.6,1.543016665357722
theta2_deg,144.8,1.5444033510067663
theta2_deg,145.0,1.5457931738442943
theta2_deg,145.2,1.547186063570675
theta2_deg,145.4,1.5485819490374515
theta2_deg,145.6,1.5499807582402898
theta2_deg,145.8,1.551382418311963
theta2_deg,146.0,1.5527868555153728
theta2_deg,146.2,1.554193995236607
theta2_deg,146.4,1.5556037619780396
theta2_deg,146.6,1.5570160793514753
theta2_deg,146.8,1.5584308700713436
theta2_deg,147.0,1.5598480559479369
theta2_deg,147.2,1.5612675578807047
theta2_deg,147.4,1.562689295851604
theta2_deg,147.6,1.5641131889185056
theta2_deg,147.8,1.5655391552086622
theta2_deg,148.0,1.5669671119122428
theta2_deg,148.2,1.568396975275933
theta2_deg,148.4,1.5698286605966065
theta2_deg,148.6,1.5712620822150691
theta2_deg,148.8,1.5726971535098848
theta2_deg,149.0,1.5741337868912757
theta2_deg,149.2,1.5755718937951109
theta2_deg,149.4,1.5770113846769824
theta2_deg,149.6,1.5784521690063704
theta2_deg,149.8,1.5798941552609023
theta2_deg,150.0,1.5813372509207164
theta2_deg,150.2,1.5827813624629181
theta2_deg,150.4,1.5842263953561528
theta2_deg,150.6,1.585672254055273
theta2_deg,150.8,1.5871188419961426
theta2_deg,151.0,1.5885660615905308
theta2_deg,151.2,1.5900138142211506
theta2_deg,151.4,1.5914620002368105
theta2_deg,151.6,1.5929105189476989
theta2_deg,151.8,1.594359268620804
